127.0.0.1, 2018-09-30 14:54:51, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.001990
127.0.0.1, 2018-09-30 14:54:51, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.001528
127.0.0.1, 2018-09-30 14:54:51, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.001010
127.0.0.1, 2018-09-30 14:54:51, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.001239
127.0.0.1, 2018-09-30 14:54:51, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.000857
127.0.0.1, 2018-09-30 14:54:52, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.001741
127.0.0.1, 2018-09-30 14:54:52, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.001113
127.0.0.1, 2018-09-30 14:54:52, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000758
127.0.0.1, 2018-09-30 14:54:52, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000964
127.0.0.1, 2018-09-30 14:54:53, GET, /welcome/default/index, HTTP/1.1, 200, 0.054708
127.0.0.1, 2018-09-30 14:54:56, GET, /admin/default/site, HTTP/1.1, 200, 0.240859
127.0.0.1, 2018-09-30 14:54:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000544
127.0.0.1, 2018-09-30 14:54:59, GET, /admin/wizard/index, HTTP/1.1, 200, 0.056436
127.0.0.1, 2018-09-30 14:54:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000391
127.0.0.1, 2018-09-30 14:55:06, POST, /admin/wizard/index, HTTP/1.1, 200, 0.060965
127.0.0.1, 2018-09-30 14:55:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000521
127.0.0.1, 2018-09-30 14:55:11, POST, /admin/wizard/index, HTTP/1.1, 303, 0.021142
127.0.0.1, 2018-10-02 13:55:45, GET, /, HTTP/1.1, 303, 0.008332
127.0.0.1, 2018-10-02 13:55:45, GET, /welcome/default/index, HTTP/1.1, 200, 0.171091
127.0.0.1, 2018-10-02 13:57:17, GET, /admin/default/site, HTTP/1.1, 303, 0.131847
127.0.0.1, 2018-10-02 13:57:17, GET, /admin/default/index, HTTP/1.1, 200, 0.035571
127.0.0.1, 2018-10-02 13:57:17, GET, /admin/static/_2.17.1/images/questions.png, HTTP/1.1, 200, 0.000784
127.0.0.1, 2018-10-02 13:57:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000326
127.0.0.1, 2018-10-02 13:57:22, POST, /admin/default/index, HTTP/1.1, 303, 0.020940
127.0.0.1, 2018-10-02 13:57:23, GET, /admin/default/site, HTTP/1.1, 200, 0.050411
127.0.0.1, 2018-10-02 13:57:23, GET, /admin/static/_2.17.1/images/folder_locked.png, HTTP/1.1, 200, 0.005380
127.0.0.1, 2018-10-02 13:57:23, GET, /admin/static/_2.17.1/images/folder.png, HTTP/1.1, 200, 0.006351
127.0.0.1, 2018-10-02 13:57:23, GET, /admin/static/_2.17.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000737
127.0.0.1, 2018-10-02 13:57:23, POST, /admin/default/check_version, HTTP/1.1, 200, 0.331409
127.0.0.1, 2018-10-02 13:57:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000295
127.0.0.1, 2018-10-02 13:58:07, POST, /admin/default/site, HTTP/1.1, 303, 0.141592
127.0.0.1, 2018-10-02 13:58:07, GET, /admin/default/design/helloWorld, HTTP/1.1, 200, 0.154483
127.0.0.1, 2018-10-02 13:58:07, GET, /admin/static/_2.17.1/images/search.png, HTTP/1.1, 200, 0.001459
127.0.0.1, 2018-10-02 13:58:07, GET, /admin/static/_2.17.1/images/help.png, HTTP/1.1, 200, 0.000944
127.0.0.1, 2018-10-02 13:58:08, GET, /admin/static/_2.17.1/images/delete_icon.png, HTTP/1.1, 200, 0.000461
